DataPoint,UnixTime,SessionTime,Wheel_RPM_Left,Wheel_RPM_Right,Stroke1_mm,Stroke2_mm,GPS_Lat,GPS_Lng,GPS_Age,GPS_Course,GPS_Speed,IMU_AccelX,IMU_AccelY,IMU_AccelZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ
1,1776426553786,0,220.10,239.10,22.57,31.41,42.670009,-83.220032,51.00,213.35,19.74,1.0690,1.1850,0.9590,-0.0980,0.0420,0.5920
2,1776426553987,201,244.50,262.40,22.74,31.11,42.670000,-83.220041,130.00,234.33,21.75,1.1180,1.1280,0.9990,-0.0420,-0.1020,0.5640
3,1776426554186,400,268.90,285.10,22.63,30.60,42.669989,-83.220045,65.00,252.44,23.83,1.1560,1.0660,0.9540,0.0870,0.0180,0.5330
4,1776426554387,601,294.00,309.60,22.74,29.92,42.669976,-83.220046,145.00,268.05,25.96,1.1830,1.0010,1.0290,-0.1570,0.0480,0.5010
5,1776426554587,801,319.70,334.70,22.90,29.39,42.669962,-83.220042,114.00,281.47,28.12,1.1970,0.9320,0.9980,0.0000,0.0150,0.4660
6,1776426554787,1001,344.50,358.80,23.23,28.89,42.669948,-83.220034,94.00,292.97,30.28,1.1990,0.8600,1.0390,-0.1650,-0.0680,0.4300
7,1776426554987,1201,370.70,382.80,23.08,28.26,42.669935,-83.220022,93.00,302.77,32.42,1.1900,0.7850,0.9840,0.1460,0.0720,0.3930
8,1776426555187,1401,395.30,407.00,23.37,27.61,42.669922,-83.220007,140.00,311.05,34.52,1.1690,0.7070,0.9670,0.0750,-0.0570,0.3530
9,1776426555387,1601,419.40,431.10,23.47,27.04,42.669909,-83.219988,131.00,317.99,36.57,1.1360,0.6260,1.0330,0.1200,-0.1200,0.3130
10,1776426555587,1801,443.90,453.10,23.22,26.34,42.669898,-83.219967,114.00,323.69,38.53,1.0910,0.5440,1.0230,0.0520,-0.0370,0.2720
11,1776426555787,2001,465.70,472.70,23.45,25.76,42.669888,-83.219944,111.00,328.29,40.39,1.0360,0.4590,1.0400,-0.0050,-0.1170,0.2290
12,1776426555987,2201,486.90,493.70,23.39,25.06,42.669878,-83.219919,57.00,331.87,42.14,0.9700,0.3720,0.9590,-0.1900,-0.0010,0.1860
13,1776426556188,2402,505.90,510.80,23.46,24.35,42.669868,-83.219892,81.00,334.50,43.75,0.8950,0.2840,0.9710,-0.1880,0.0910,0.1420
14,1776426556388,2602,524.10,528.00,23.17,23.51,42.669859,-83.219864,100.00,336.25,45.21,0.8110,0.1960,1.0460,-0.0360,-0.1770,0.0980
15,1776426556588,2802,540.40,542.60,23.24,22.82,42.669850,-83.219835,64.00,337.17,46.50,0.7180,0.1060,1.0440,0.0380,-0.1190,0.0530
16,1776426556788,3002,554.10,553.30,22.94,22.20,42.669841,-83.219805,145.00,337.31,47.62,0.6190,0.0160,1.0300,-0.0950,0.1290,0.0080
17,1776426556988,3202,564.60,564.30,23.01,21.42,42.669831,-83.219775,142.00,336.69,48.54,0.5130,-0.0740,1.0430,-0.1900,0.1030,-0.0370
